Facts: Value;Indicators: Key;Indicators: Name;Indicators: Description;Indicators: Full Name;Date;Time Period;Regions: Key;Regions: Code;Regions: Name
4548.4329366514685;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2011-01-01 00:00:00;Annual;16754916;;Senegal
4704.1794512389824;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2012-01-01 00:00:00;Annual;16754916;;Senegal
3466.2397436296842;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2004-01-01 00:00:00;Annual;16754916;;Senegal
3643.6682509520656;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2005-01-01 00:00:00;Annual;16754916;;Senegal
3815.755364813012;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2006-01-01 00:00:00;Annual;16754916;;Senegal
4016.8412163310322;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2007-01-01 00:00:00;Annual;16754916;;Senegal
4215.2107695607219;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2008-01-01 00:00:00;Annual;16754916;;Senegal
4365.2521776862095;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2009-01-01 00:00:00;Annual;16754916;;Senegal
2690.8562808802717;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1998-01-01 00:00:00;Annual;16754916;;Senegal
2822.1004983122411;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1999-01-01 00:00:00;Annual;16754916;;Senegal
2903.1344119204423;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2000-01-01 00:00:00;Annual;16754916;;Senegal
3032.3711296266683;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2001-01-01 00:00:00;Annual;16754916;;Senegal
3160.3111635414921;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2002-01-01 00:00:00;Annual;16754916;;Senegal
3317.4894809507196;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;2003-01-01 00:00:00;Annual;16754916;;Senegal
2363.3217170633202;259;Final consumption ;;A prix constants de 1999 (milliards de FCFA)\Final consumption ;1992-01-01 00:00:00;Annual;16754916;;Senegal
