arr,Residence and survival status of parents: Living with both parents,Residence and survival status of parents: Living with mother/father alive,Residence and survival status of parents: Living with mother/father dead,Residence and survival status of parents: Living with father/ mother alive,Residence and survival status of parents: Living with father/ mother dead,Residence and survival status of parents: Living with neither/ both alive,Residence and survival status of parents: Living with neither/ father alive,Residence and survival status of parents: Living with neither/ mother alive,Residence and survival status of parents: Living with neither/ both dead,Residence and survival status of parents: Missing on whether father/mother alive
70,55.9,24.7,1.8,3.1,0.8,11.1,1.2,0.9,0.3,0.2
71,55.9,24.7,1.8,3.1,0.8,11.1,1.2,0.9,0.3,0.2
72,55.9,24.7,1.8,3.1,0.8,11.1,1.2,0.9,0.3,0.2
73,55.9,24.7,1.8,3.1,0.8,11.1,1.2,0.9,0.3,0.2
74,67.0,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0.0
75,67.0,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0.0
76,67.0,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0.0
77,67.0,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0.0
78,67.0,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0.0
79,67.0,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0.0
80,67.0,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0.0
81,67.0,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0.0
82,67.0,12.9,3.5,4.2,2.3,7.1,0.8,1.9,0.5,0.0
83,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3.0,0.5,0.0
84,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3.0,0.5,0.0
85,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3.0,0.5,0.0
86,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3.0,0.5,0.0
87,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3.0,0.5,0.0
88,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3.0,0.5,0.0
89,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3.0,0.5,0.0
90,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3.0,0.5,0.0
91,53.9,15.6,3.7,5.4,0.3,16.3,1.2,3.0,0.5,0.0
92,47.7,20.2,2.8,5.3,1.1,19.0,1.2,2.1,0.6,0.2
93,47.7,20.2,2.8,5.3,1.1,19.0,1.2,2.1,0.6,0.2
94,47.7,20.2,2.8,5.3,1.1,19.0,1.2,2.1,0.6,0.2
95,47.7,20.2,2.8,5.3,1.1,19.0,1.2,2.1,0.6,0.2
96,47.7,20.2,2.8,5.3,1.1,19.0,1.2,2.1,0.6,0.2
97,47.7,20.2,2.8,5.3,1.1,19.0,1.2,2.1,0.6,0.2
98,47.7,20.2,2.8,5.3,1.1,19.0,1.2,2.1,0.6,0.2
99,47.7,20.2,2.8,5.3,1.1,19.0,1.2,2.1,0.6,0.2
100,71.2,12.3,3.7,2.1,1.4,7.9,0.4,0.8,0.1,0.0
101,71.2,12.3,3.7,2.1,1.4,7.9,0.4,0.8,0.1,0.0
102,71.2,12.3,3.7,2.1,1.4,7.9,0.4,0.8,0.1,0.0
103,71.2,12.3,3.7,2.1,1.4,7.9,0.4,0.8,0.1,0.0
104,71.2,12.3,3.7,2.1,1.4,7.9,0.4,0.8,0.1,0.0
105,71.2,12.3,3.7,2.1,1.4,7.9,0.4,0.8,0.1,0.0
106,66.5,13.6,2.1,5.0,1.0,9.8,0.8,0.9,0.2,0.0
107,66.5,13.6,2.1,5.0,1.0,9.8,0.8,0.9,0.2,0.0
108,66.5,13.6,2.1,5.0,1.0,9.8,0.8,0.9,0.2,0.0
109,66.5,13.6,2.1,5.0,1.0,9.8,0.8,0.9,0.2,0.0
110,66.5,13.6,2.1,5.0,1.0,9.8,0.8,0.9,0.2,0.0
111,66.5,13.6,2.1,5.0,1.0,9.8,0.8,0.9,0.2,0.0
112,66.5,13.6,2.1,5.0,1.0,9.8,0.8,0.9,0.2,0.0
