112,TAMBACOUNDA,GOUDIRY,KOULOR
113,TAMBACOUNDA,GOUDIRY,DIANKE MAKHA
114,TAMBACOUNDA,GOUDIRY,BALA
115,TAMBACOUNDA,GOUDIRY,BOYNGUEL BAMBA
116,TAMBACOUNDA,BAKEL,MOUDERY
117,TAMBACOUNDA,BAKEL,KENIEBA
118,TAMBACOUNDA,BAKEL,BELE
119,MATAM,MATAM,OGO
120,MATAM,MATAM,AGNAM CIVOL
121,MATAM,RANEROU,VELINGARA
122,MATAM,KANEL,ORKADIERE
123,MATAM,KANEL,OURO SIDY
